arm,round,task_id,task_type,reward,outcome,overlong,masked,kill_reason,termination,agent_turns,response_tokens,infra_error
partial,1,44,write,0.0,0.0,0,0,,user_stop,10,4357,0
partial,1,22,write,1.0,1.0,0,0,,user_stop,12,5234,0
partial,1,48,read,1.0,1.0,0,0,,user_stop,10,2765,0
partial,1,2,read,0.5,0.0,1,0,,max_steps,20,6475,0
partial,1,19,write,1.0,1.0,0,0,,user_stop,13,4747,0
partial,1,37,write,1.0,1.0,0,0,,user_stop,11,4679,0
partial,1,17,write,1.0,1.0,0,0,,user_stop,12,5242,0
partial,1,22,write,1.0,1.0,0,0,,user_stop,13,5299,0
partial,1,29,write,0.0,0.0,0,0,,user_stop,11,3934,0
partial,1,27,read,1.0,1.0,0,0,,user_stop,17,5914,0
partial,1,18,write,1.0,1.0,0,0,,user_stop,18,6868,0
partial,1,27,read,1.0,1.0,0,0,,user_stop,17,6073,0
partial,1,43,read,1.0,1.0,0,0,,user_stop,12,4869,0
partial,1,17,write,1.0,1.0,0,0,,user_stop,11,5536,0
partial,1,22,write,1.0,1.0,0,0,,user_stop,13,5283,0
partial,1,28,none,1.0,1.0,0,0,,user_stop,11,2777,0
partial,1,4,read,1.0,1.0,0,0,,user_stop,13,4548,0
partial,1,9,read,1.0,1.0,0,0,,user_stop,11,5727,0
partial,1,27,read,1.0,1.0,0,0,,user_stop,18,5833,0
partial,1,32,write,1.0,1.0,0,0,,user_stop,13,4502,0
partial,1,22,write,1.0,1.0,0,0,,user_stop,14,5571,0
partial,1,17,write,0.0,0.0,0,0,,user_stop,12,5826,0
partial,1,32,write,1.0,1.0,0,0,,user_stop,14,5838,0
partial,1,27,read,1.0,1.0,0,0,,user_stop,18,5987,0
partial,1,2,read,1.0,1.0,0,0,,user_stop,11,3799,0
partial,1,17,write,1.0,1.0,0,0,,user_stop,13,5817,0
partial,1,22,write,1.0,1.0,0,0,,user_stop,16,5461,0
partial,1,43,read,1.0,1.0,0,0,,user_stop,15,4833,0
partial,1,4,read,1.0,1.0,0,0,,user_stop,11,5633,0
partial,1,49,read,1.0,1.0,0,0,,user_stop,10,3887,0
partial,1,37,write,1.0,1.0,0,0,,user_stop,11,5481,0
partial,1,37,write,1.0,1.0,0,0,,user_stop,11,5022,0
partial,1,2,read,1.0,1.0,0,0,,user_stop,15,4094,0
partial,1,44,write,0.0,0.0,0,0,,user_stop,14,5260,0
partial,1,8,write,1.0,1.0,0,0,,user_stop,12,5968,0
partial,1,17,write,1.0,1.0,0,0,,user_stop,14,6134,0
partial,1,47,read,0.0,0.0,0,0,,user_stop,11,2993,0
partial,1,18,write,0.0,0.0,0,0,,user_stop,18,7436,0
partial,1,37,write,1.0,1.0,0,0,,user_stop,12,5819,0
partial,1,17,write,1.0,1.0,0,0,,user_stop,12,6181,0
partial,1,38,read,1.0,1.0,0,0,,user_stop,11,3913,0
partial,1,13,read,1.0,1.0,0,0,,user_stop,18,6936,0
partial,1,28,none,0.0,0.0,1,0,,max_steps,20,2344,0
partial,1,18,write,0.0,0.0,0,0,,user_stop,17,7456,0
partial,1,8,write,1.0,1.0,0,0,,user_stop,12,6619,0
partial,1,9,read,1.0,1.0,0,0,,user_stop,12,6378,0
partial,1,12,write,0.0,0.0,0,0,,user_stop,12,5148,0
partial,1,39,write,1.0,1.0,0,0,,user_stop,15,8194,0
partial,1,32,write,1.0,1.0,0,0,,user_stop,12,8219,0
partial,1,38,read,1.0,1.0,0,0,,user_stop,12,4291,0
partial,1,38,read,1.0,1.0,0,0,,user_stop,13,4618,0
partial,1,8,write,0.0,0.0,0,0,,user_stop,13,6482,0
partial,1,8,write,1.0,1.0,0,0,,user_stop,13,6095,0
partial,1,37,write,1.0,1.0,0,0,,user_stop,13,5626,0
partial,1,32,write,1.0,1.0,0,0,,user_stop,15,7284,0
partial,1,12,write,0.0,0.0,0,0,,user_stop,13,5420,0
partial,1,37,write,1.0,1.0,0,0,,user_stop,11,6385,0
partial,1,43,read,0.0,0.0,0,0,,user_stop,15,6637,0
partial,1,18,write,1.0,1.0,0,0,,user_stop,18,8317,0
partial,1,2,read,1.0,1.0,0,0,,user_stop,12,4112,0
partial,1,38,read,1.0,1.0,0,0,,user_stop,12,4741,0
partial,1,18,write,0.0,0.0,0,0,,user_stop,17,7254,0
partial,1,38,read,1.0,1.0,0,0,,user_stop,11,3849,0
partial,1,9,read,1.0,1.0,0,0,,user_stop,11,6864,0
partial,1,9,read,1.0,1.0,0,0,,user_stop,12,6977,0
partial,1,7,write,0.0,0.0,0,0,,user_stop,16,7682,0
partial,1,13,read,0.5,0.0,1,0,,max_steps,20,7887,0
partial,1,12,write,1.0,1.0,0,0,,user_stop,14,5197,0
partial,1,18,write,0.0,0.0,0,0,,user_stop,18,8708,0
partial,1,29,write,0.0,0.0,0,0,,user_stop,11,5962,0
partial,1,32,write,1.0,1.0,0,0,,user_stop,15,9688,0
partial,1,12,write,1.0,1.0,0,0,,user_stop,12,5827,0
partial,1,2,read,1.0,1.0,0,0,,user_stop,14,4366,0
partial,1,32,write,1.0,1.0,0,0,,user_stop,16,6960,0
partial,1,9,read,1.0,1.0,0,0,,user_stop,11,6080,0
partial,1,7,write,0.0,0.0,0,0,,user_stop,18,8137,0
partial,1,7,write,0.0,0.0,0,0,,user_stop,16,8035,0
partial,1,39,write,1.0,1.0,0,0,,user_stop,16,9479,0
partial,1,8,write,1.0,1.0,0,0,,user_stop,13,7544,0
partial,1,4,read,1.0,1.0,0,0,,user_stop,13,6160,0
partial,1,42,write,0.0,0.0,0,0,,user_stop,18,7870,0
partial,1,24,write,0.0,0.0,1,0,,max_steps,20,7045,0
partial,1,9,read,1.0,1.0,0,0,,user_stop,11,7103,0
partial,1,33,write,0.0,0.0,0,0,,user_stop,14,7147,0
partial,1,24,write,1.0,1.0,0,0,,user_stop,16,8098,0
partial,1,38,read,0.0,0.0,0,0,,user_stop,14,5302,0
partial,1,8,write,1.0,1.0,0,0,,user_stop,15,7211,0
partial,1,39,write,0.0,0.0,1,0,,max_steps,20,9348,0
partial,1,4,read,0.5,0.0,1,0,,max_steps,20,5834,0
partial,1,2,read,1.0,1.0,0,0,,user_stop,17,7607,0
partial,1,7,write,0.0,0.0,0,0,,user_stop,18,9265,0
partial,1,33,write,0.0,0.0,0,0,,user_stop,17,8359,0
partial,1,24,write,0.5,0.0,1,0,,max_steps,20,7987,0
partial,1,39,write,0.0,0.0,0,0,,user_stop,18,9900,0
partial,1,12,write,1.0,1.0,0,0,,user_stop,12,7307,0
partial,1,24,write,0.5,0.0,1,0,,max_steps,20,10966,0
partial,1,44,write,0.0,0.0,1,0,,max_steps,20,11013,0
partial,1,44,write,0.0,0.0,0,0,,user_stop,14,7511,0
partial,1,7,write,0.0,0.0,0,0,,user_stop,18,10103,0
partial,1,33,write,0.0,0.0,0,0,,user_stop,15,9034,0
partial,1,14,write,1.0,1.0,0,0,,user_stop,15,13676,0
partial,1,44,write,0.0,0.0,1,0,,max_steps,20,11972,0
partial,1,14,write,1.0,1.0,0,0,,user_stop,16,11347,0
partial,1,34,none,1.0,1.0,0,0,,user_stop,11,9789,0
partial,1,4,read,1.0,1.0,0,0,,user_stop,13,8180,0
partial,1,34,none,0.0,0.0,0,0,,user_stop,18,9667,0
partial,1,39,write,0.5,0.0,1,0,,max_steps,20,12965,0
partial,1,24,write,0.5,0.0,1,0,,max_steps,20,9709,0
partial,1,44,write,0.0,0.0,1,0,,max_steps,20,11796,0
partial,1,42,write,0.0,0.0,1,0,,max_steps,20,11393,0
partial,1,24,write,1.0,1.0,0,0,,user_stop,19,9444,0
partial,1,34,none,0.0,0.0,0,0,,user_stop,15,10070,0
partial,1,34,none,0.0,0.0,0,0,,user_stop,16,9434,0
partial,1,34,none,1.0,1.0,0,0,,user_stop,12,10680,0
partial,1,14,write,0.0,0.0,0,0,,user_stop,17,16118,0
partial,1,29,write,0.0,0.0,0,0,,user_stop,15,9274,0
partial,1,33,write,0.5,0.0,1,0,,max_steps,20,9550,0
partial,1,14,write,0.0,0.0,1,0,budget,max_steps,17,16474,0
partial,1,33,write,0.0,0.0,1,0,,max_steps,20,10006,0
partial,1,29,write,0.0,0.0,1,0,budget,max_steps,18,16504,0
partial,1,42,write,0.0,0.0,0,0,,user_stop,19,12756,0
partial,1,33,write,0.0,0.0,1,0,,max_steps,20,11627,0
partial,1,29,write,0.0,0.0,1,0,budget,max_steps,14,16616,0
partial,1,23,write,0.0,0.0,1,0,budget,max_steps,17,16522,0
partial,1,23,write,0.0,0.0,0,0,,user_stop,15,14108,0
partial,1,14,write,1.0,1.0,0,0,,user_stop,17,14725,0
partial,1,42,write,0.0,0.0,1,0,,max_steps,20,13208,0
partial,1,14,write,0.0,0.0,0,0,,user_stop,19,16363,0
partial,1,23,write,0.0,0.0,1,0,budget,max_steps,17,16449,0
partial,1,42,write,0.0,0.0,1,0,,max_steps,20,13355,0
partial,1,23,write,0.0,0.0,1,0,budget,max_steps,15,16436,0
partial,1,34,none,0.0,0.0,1,0,,max_steps,20,13534,0
partial,1,29,write,0.0,0.0,1,0,budget,max_steps,13,16488,0
partial,1,23,write,0.0,0.0,1,0,budget,max_steps,19,16425,0
partial,1,42,write,0.0,0.0,1,0,,max_steps,20,16305,0
partial,1,23,write,0.0,0.0,1,0,budget,max_steps,18,16438,0
partial,2,3,read,0.0,0.0,0,0,,user_stop,8,1884,0
partial,2,47,read,0.0,0.0,0,0,,user_stop,8,1402,0
partial,2,48,read,1.0,1.0,0,0,,user_stop,6,1205,0
partial,2,28,none,1.0,1.0,0,0,,user_stop,7,1641,0
partial,2,47,read,0.0,0.0,0,0,,user_stop,8,1993,0
partial,2,49,read,1.0,1.0,0,0,,user_stop,7,1897,0
partial,2,47,read,0.0,0.0,0,0,,user_stop,5,1665,0
partial,2,3,read,1.0,1.0,0,0,,user_stop,9,1995,0
partial,2,47,read,0.0,0.0,0,0,,user_stop,8,1516,0
partial,2,3,read,1.0,1.0,0,0,,user_stop,9,2056,0
partial,2,19,write,1.0,1.0,0,0,,user_stop,10,2733,0
partial,2,28,none,1.0,1.0,0,0,,user_stop,6,1453,0
partial,2,19,write,1.0,1.0,0,0,,user_stop,8,2022,0
partial,2,28,none,1.0,1.0,0,0,,user_stop,6,1305,0
partial,2,47,read,0.0,0.0,0,0,,user_stop,9,1512,0
partial,2,3,read,1.0,1.0,0,0,,user_stop,9,2153,0
partial,2,43,read,1.0,1.0,0,0,,user_stop,10,3157,0
partial,2,3,read,1.0,1.0,0,0,,user_stop,8,1745,0
partial,2,13,read,1.0,1.0,0,0,,user_stop,6,1568,0
partial,2,3,read,1.0,1.0,0,0,,user_stop,9,2096,0
partial,2,13,read,1.0,1.0,0,0,,user_stop,7,1769,0
partial,2,28,none,1.0,1.0,0,0,,user_stop,5,1568,0
partial,2,19,write,1.0,1.0,0,0,,user_stop,9,2053,0
partial,2,13,read,1.0,1.0,0,0,,user_stop,8,2481,0
partial,2,19,write,1.0,1.0,0,0,,user_stop,10,2839,0
partial,2,28,none,1.0,1.0,0,0,,user_stop,8,2228,0
partial,2,28,none,1.0,1.0,0,0,,user_stop,7,2132,0
partial,2,49,read,1.0,1.0,0,0,,user_stop,9,2489,0
partial,2,19,write,1.0,1.0,0,0,,user_stop,10,3086,0
partial,2,22,write,1.0,1.0,0,0,,user_stop,12,4748,0
partial,2,49,read,0.0,0.0,0,0,,user_stop,8,2064,0
partial,2,48,read,1.0,1.0,0,0,,user_stop,8,2511,0
partial,2,48,read,1.0,1.0,0,0,,user_stop,6,2014,0
partial,2,48,read,1.0,1.0,0,0,,user_stop,7,2094,0
partial,2,19,write,1.0,1.0,0,0,,user_stop,11,3305,0
partial,2,17,write,0.0,0.0,0,0,,user_stop,12,5154,0
partial,2,48,read,1.0,1.0,0,0,,user_stop,10,2634,0
partial,2,13,read,1.0,1.0,0,0,,user_stop,8,2936,0
partial,2,27,read,1.0,1.0,0,0,,user_stop,17,6023,0
partial,2,32,write,1.0,1.0,0,0,,user_stop,9,4163,0
partial,2,43,read,1.0,1.0,0,0,,user_stop,13,4365,0
partial,2,17,write,1.0,1.0,0,0,,user_stop,12,5139,0
partial,2,27,read,1.0,1.0,0,0,,user_stop,17,5620,0
partial,2,9,read,0.0,0.0,0,0,,user_stop,12,5641,0
partial,2,49,read,1.0,1.0,0,0,,user_stop,11,2820,0
partial,2,43,read,0.0,0.0,0,0,,user_stop,14,4847,0
partial,2,2,read,1.0,1.0,0,0,,user_stop,11,3247,0
partial,2,22,write,1.0,1.0,0,0,,user_stop,13,4909,0
partial,2,22,write,1.0,1.0,0,0,,user_stop,12,5038,0
partial,2,48,read,0.0,0.0,0,0,,user_stop,9,2357,0
partial,2,49,read,1.0,1.0,0,0,,user_stop,8,3673,0
partial,2,18,write,0.0,0.0,0,0,,user_stop,16,6986,0
partial,2,32,write,1.0,1.0,0,0,,user_stop,11,4079,0
partial,2,22,write,1.0,1.0,0,0,,user_stop,16,5155,0
partial,2,22,write,1.0,1.0,0,0,,user_stop,15,5329,0
partial,2,17,write,1.0,1.0,0,0,,user_stop,15,5371,0
partial,2,27,read,0.0,0.0,1,0,,max_steps,20,5952,0
partial,2,13,read,0.0,0.0,0,0,,user_stop,9,3487,0
partial,2,43,read,1.0,1.0,0,0,,user_stop,13,4957,0
partial,2,37,write,1.0,1.0,0,0,,user_stop,11,5043,0
partial,2,2,read,0.5,0.0,1,0,,max_steps,20,4933,0
partial,2,43,read,1.0,1.0,0,0,,user_stop,12,4941,0
partial,2,17,write,1.0,1.0,0,0,,user_stop,12,6009,0
partial,2,17,write,1.0,1.0,0,0,,user_stop,11,5551,0
partial,2,37,write,1.0,1.0,0,0,,user_stop,11,5089,0
partial,2,32,write,1.0,1.0,0,0,,user_stop,14,5563,0
partial,2,18,write,1.0,1.0,0,0,,user_stop,18,7650,0
partial,2,8,write,0.0,0.0,0,0,,user_stop,12,5604,0
partial,2,38,read,0.0,0.0,0,0,,user_stop,14,4347,0
partial,2,13,read,1.0,1.0,0,0,,user_stop,19,7407,0
partial,2,8,write,1.0,1.0,0,0,,user_stop,13,5390,0
partial,2,9,read,1.0,1.0,0,0,,user_stop,12,6275,0
partial,2,12,write,0.0,0.0,0,0,,user_stop,12,5373,0
partial,2,37,write,1.0,1.0,0,0,,user_stop,10,4998,0
partial,2,8,write,1.0,1.0,0,0,,user_stop,13,6053,0
partial,2,24,write,0.0,0.0,1,0,,max_steps,20,5395,0
partial,2,44,write,0.0,0.0,0,0,,user_stop,13,5198,0
partial,2,12,write,1.0,1.0,0,0,,user_stop,14,4967,0
partial,2,24,write,0.0,0.0,1,0,,max_steps,20,6454,0
partial,2,18,write,0.0,0.0,0,0,,user_stop,18,7115,0
partial,2,27,read,0.5,0.0,1,0,,max_steps,20,7455,0
partial,2,39,write,1.0,1.0,0,0,,user_stop,17,8491,0
partial,2,27,read,1.0,1.0,0,0,,user_stop,19,6878,0
partial,2,12,write,1.0,1.0,0,0,,user_stop,11,5653,0
partial,2,32,write,0.0,0.0,0,0,,user_stop,11,5812,0
partial,2,2,read,1.0,1.0,0,0,,user_stop,12,4229,0
partial,2,18,write,1.0,1.0,0,0,,user_stop,17,7722,0
partial,2,38,read,0.0,0.0,0,0,,user_stop,15,4895,0
partial,2,17,write,0.0,0.0,0,0,,user_stop,15,6940,0
partial,2,18,write,0.0,0.0,1,0,,max_steps,20,7865,0
partial,2,32,write,1.0,1.0,0,0,,user_stop,15,7160,0
partial,2,4,read,1.0,1.0,0,0,,user_stop,13,5460,0
partial,2,8,write,1.0,1.0,0,0,,user_stop,12,6177,0
partial,2,18,write,1.0,1.0,0,0,,user_stop,18,7758,0
partial,2,43,read,0.0,0.0,0,0,,user_stop,17,6579,0
partial,2,14,write,0.0,0.0,0,0,,user_stop,11,4321,0
partial,2,24,write,0.0,0.0,1,0,,max_steps,20,6696,0
partial,2,4,read,1.0,1.0,0,0,,user_stop,14,4941,0
partial,2,32,write,1.0,1.0,0,0,,user_stop,13,5883,0
partial,2,22,write,1.0,1.0,0,0,,user_stop,18,8746,0
partial,2,8,write,1.0,1.0,0,0,,user_stop,12,5804,0
partial,2,8,write,0.0,0.0,0,0,,user_stop,13,6441,0
partial,2,39,write,0.0,0.0,0,0,,user_stop,18,8967,0
partial,2,7,write,0.0,0.0,0,0,,user_stop,17,8832,0
partial,2,37,write,0.0,0.0,0,0,,user_stop,12,5753,0
partial,2,39,write,0.0,0.0,1,0,,max_steps,20,8386,0
partial,2,39,write,1.0,1.0,0,0,,user_stop,17,9285,0
partial,2,7,write,0.0,0.0,0,0,,user_stop,17,8320,0
partial,2,14,write,0.0,0.0,0,0,,user_stop,14,7880,0
partial,2,9,read,0.0,0.0,0,0,,user_stop,16,7922,0
partial,2,27,read,0.5,0.0,1,0,,max_steps,20,6979,0
partial,2,38,read,0.0,0.0,0,0,,user_stop,16,6780,0
partial,2,2,read,1.0,1.0,0,0,,user_stop,13,4767,0
partial,2,9,read,1.0,1.0,0,0,,user_stop,12,7333,0
partial,2,4,read,0.0,0.0,0,0,,user_stop,13,6102,0
partial,2,12,write,1.0,1.0,0,0,,user_stop,14,6494,0
partial,2,7,write,0.0,0.0,1,0,,max_steps,20,10132,0
partial,2,4,read,0.0,0.0,0,0,,user_stop,13,6924,0
partial,2,24,write,0.5,0.0,1,0,,max_steps,20,8042,0
partial,2,49,read,0.0,0.0,0,0,,user_stop,19,8857,0
partial,2,4,read,0.0,0.0,0,0,,user_stop,14,6121,0
partial,2,47,read,1.0,1.0,0,0,,user_stop,14,5357,0
partial,2,29,write,0.0,0.0,0,0,,user_stop,13,8233,0
partial,2,38,read,1.0,1.0,0,0,,user_stop,14,6114,0
partial,2,37,write,1.0,1.0,0,0,,user_stop,15,7139,0
partial,2,12,write,0.0,0.0,0,0,,user_stop,13,8659,0
partial,2,29,write,0.0,0.0,0,0,,user_stop,15,9528,0
partial,2,29,write,0.0,0.0,0,0,,user_stop,13,9005,0
partial,2,9,read,0.0,0.0,0,0,,user_stop,16,7425,0
partial,2,4,read,1.0,1.0,0,0,,user_stop,12,7121,0
partial,2,37,write,1.0,1.0,0,0,,user_stop,17,7529,0
partial,2,44,write,0.0,0.0,0,0,,user_stop,12,7124,0
partial,2,42,write,0.0,0.0,0,0,,user_stop,17,7769,0
partial,2,12,write,0.0,0.0,0,0,,user_stop,19,8174,0
partial,2,2,read,1.0,1.0,0,0,,user_stop,19,8081,0
partial,2,38,read,0.0,0.0,0,0,,user_stop,14,7067,0
partial,2,38,read,1.0,1.0,0,0,,user_stop,14,6120,0
partial,2,29,write,0.0,0.0,0,0,,user_stop,13,8578,0
partial,2,44,write,0.0,0.0,0,0,,user_stop,13,7296,0
partial,2,44,write,0.0,0.0,0,0,,user_stop,13,7885,0
partial,2,24,write,0.0,0.0,1,0,,max_steps,20,8397,0
partial,2,24,write,0.5,0.0,1,0,,max_steps,20,9817,0
partial,2,2,read,1.0,1.0,0,0,,user_stop,14,8491,0
partial,2,7,write,0.0,0.0,0,0,,user_stop,19,10368,0
partial,2,44,write,0.0,0.0,1,0,,max_steps,20,12009,0
partial,2,7,write,0.0,0.0,0,0,,user_stop,17,10271,0
partial,2,7,write,0.0,0.0,0,0,,user_stop,11,9290,0
partial,2,9,read,0.0,0.0,1,0,,max_steps,20,7326,0
partial,2,33,write,0.0,0.0,0,0,,user_stop,17,9044,0
partial,2,14,write,1.0,1.0,0,0,,user_stop,15,13525,0
partial,2,33,write,0.5,0.0,1,0,,max_steps,20,11437,0
partial,2,39,write,0.0,0.0,0,0,,user_stop,19,11696,0
partial,2,44,write,0.0,0.0,1,0,,max_steps,20,8744,0
partial,2,34,none,1.0,1.0,0,0,,user_stop,13,8751,0
partial,2,42,write,0.0,0.0,1,0,,max_steps,20,11281,0
partial,2,29,write,0.0,0.0,0,0,,user_stop,13,10317,0
partial,2,33,write,0.0,0.0,0,0,,user_stop,19,12163,0
partial,2,39,write,0.0,0.0,1,0,,max_steps,20,13830,0
partial,2,29,write,0.0,0.0,1,0,budget,max_steps,14,16440,0
partial,2,42,write,0.0,0.0,1,0,,max_steps,20,11542,0
partial,2,42,write,0.0,0.0,1,0,,max_steps,20,12601,0
partial,2,34,none,0.0,0.0,0,0,,user_stop,15,11812,0
partial,2,34,none,0.0,0.0,0,0,,user_stop,16,11323,0
partial,2,23,write,0.0,0.0,1,0,budget,max_steps,15,16431,0
partial,2,42,write,0.0,0.0,1,0,,max_steps,20,13287,0
partial,2,23,write,0.0,0.0,1,0,budget,max_steps,17,16568,0
partial,2,42,write,0.0,0.0,1,0,,max_steps,20,14913,0
partial,2,33,write,0.0,0.0,0,0,,user_stop,19,12078,0
partial,2,34,none,1.0,1.0,0,0,,user_stop,14,13901,0
partial,2,14,write,0.0,0.0,1,0,,max_steps,20,13659,0
partial,2,34,none,0.0,0.0,0,0,,user_stop,19,11118,0
partial,2,14,write,1.0,1.0,0,0,,user_stop,16,15795,0
partial,2,33,write,0.0,0.0,1,0,,max_steps,20,13782,0
partial,2,14,write,0.0,0.0,0,0,,user_stop,18,15202,0
partial,2,33,write,0.0,0.0,1,0,,max_steps,20,13173,0
partial,2,23,write,0.0,0.0,1,0,,max_steps,20,14556,0
partial,2,23,write,0.0,0.0,1,0,budget,max_steps,18,16450,0
partial,2,23,write,0.0,0.0,1,0,budget,max_steps,17,16432,0
partial,2,34,none,1.0,1.0,0,0,,user_stop,14,15068,0
partial,2,23,write,0.0,0.0,1,0,budget,max_steps,18,16438,0
partial,3,3,read,1.0,1.0,0,0,,user_stop,7,1291,0
partial,3,3,read,1.0,1.0,0,0,,user_stop,6,1305,0
partial,3,48,read,1.0,1.0,0,0,,user_stop,5,1143,0
partial,3,47,read,0.0,0.0,0,0,,user_stop,6,1406,0
partial,3,48,read,1.0,1.0,0,0,,user_stop,5,1252,0
partial,3,3,read,1.0,1.0,0,0,,user_stop,7,1598,0
partial,3,47,read,0.0,0.0,0,0,,user_stop,8,1459,0
partial,3,47,read,0.0,0.0,0,0,,user_stop,8,1418,0
partial,3,47,read,0.0,0.0,0,0,,user_stop,6,1466,0
partial,3,28,none,1.0,1.0,0,0,,user_stop,6,1537,0
partial,3,28,none,1.0,1.0,0,0,,user_stop,7,1978,0
partial,3,48,read,1.0,1.0,0,0,,user_stop,6,1558,0
partial,3,48,read,1.0,1.0,0,0,,user_stop,7,1582,0
partial,3,3,read,1.0,1.0,0,0,,user_stop,9,2072,0
partial,3,19,write,1.0,1.0,0,0,,user_stop,8,2077,0
partial,3,3,read,1.0,1.0,0,0,,user_stop,7,1631,0
partial,3,19,write,1.0,1.0,0,0,,user_stop,9,2054,0
partial,3,47,read,0.0,0.0,0,0,,user_stop,8,1352,0
partial,3,13,read,1.0,1.0,0,0,,user_stop,8,2115,0
partial,3,13,read,1.0,1.0,0,0,,user_stop,7,2325,0
partial,3,49,read,1.0,1.0,0,0,,user_stop,6,1779,0
partial,3,3,read,1.0,1.0,0,0,,user_stop,7,1643,0
partial,3,13,read,1.0,1.0,0,0,,user_stop,7,2483,0
partial,3,43,read,1.0,1.0,0,0,,user_stop,12,3817,0
partial,3,43,read,1.0,1.0,0,0,,user_stop,10,4219,0
partial,3,19,write,1.0,1.0,0,0,,user_stop,9,2281,0
partial,3,48,read,1.0,1.0,0,0,,user_stop,7,2231,0
partial,3,19,write,1.0,1.0,0,0,,user_stop,9,2545,0
partial,3,13,read,1.0,1.0,0,0,,user_stop,7,2514,0
partial,3,49,read,1.0,1.0,0,0,,user_stop,8,2552,0
partial,3,49,read,1.0,1.0,0,0,,user_stop,7,2416,0
partial,3,38,read,1.0,1.0,0,0,,user_stop,8,3161,0
partial,3,19,write,1.0,1.0,0,0,,user_stop,8,2146,0
partial,3,38,read,1.0,1.0,0,0,,user_stop,9,2983,0
partial,3,49,read,1.0,1.0,0,0,,user_stop,8,2714,0
partial,3,48,read,1.0,1.0,0,0,,user_stop,10,2502,0
partial,3,27,read,1.0,1.0,0,0,,user_stop,7,2240,0
partial,3,43,read,1.0,1.0,0,0,,user_stop,13,4473,0
partial,3,19,write,1.0,1.0,0,0,,user_stop,11,3007,0
partial,3,13,read,1.0,1.0,0,0,,user_stop,7,3091,0
partial,3,22,write,1.0,1.0,0,0,,user_stop,15,4737,0
partial,3,22,write,1.0,1.0,0,0,,user_stop,13,4940,0
partial,3,9,read,1.0,1.0,0,0,,user_stop,11,5643,0
partial,3,4,read,1.0,1.0,0,0,,user_stop,10,3821,0
partial,3,43,read,1.0,1.0,0,0,,user_stop,13,4868,0
partial,3,2,read,0.5,0.0,1,0,,max_steps,20,4297,0
partial,3,13,read,1.0,1.0,0,0,,user_stop,8,2952,0
